24 Feb 2016 10:28:54:458; Execute: waitToBeVisible(plus)
24 Feb 2016 10:28:54:568; Execute: getText(plus)
24 Feb 2016 10:28:54:719; >Success testing method: testDial
24 Feb 2016 10:28:54:722; $$$$ Test ended! $$$$
24 Feb 2016 10:28:54:723; ----------------------------------------------------------------------------
24 Feb 2016 10:29:20:960; ----------------------------------------------------------------------------
24 Feb 2016 10:29:35:130; Test started on localhost.localdomain machine
24 Feb 2016 10:29:35:131; >Start test method: testPressMove
24 Feb 2016 10:29:35:140; Execute: findElement(By.name(del)
24 Feb 2016 10:29:35:231; Execute: findElement(By.id(com.android.calculator2:id/digit_7)
24 Feb 2016 10:29:35:298; Execute: pressOnAndMoveTo(delButton,digitSeven)
24 Feb 2016 10:29:36:181; >Success testing method: testPressMove
24 Feb 2016 10:29:36:182; $$$$ Test ended! $$$$
24 Feb 2016 10:29:36:183; ----------------------------------------------------------------------------
24 Feb 2016 10:30:45:179; ----------------------------------------------------------------------------
24 Feb 2016 10:31:02:897; Test started on localhost.localdomain machine
24 Feb 2016 10:31:02:897; >Start test method: testSeekBar
24 Feb 2016 10:31:02:904; Execute: findElement(By.id(com.android.androidui:id/seekBar1)
24 Feb 2016 10:31:04:052; >Success testing method: testSeekBar
24 Feb 2016 10:31:04:054; $$$$ Test ended! $$$$
24 Feb 2016 10:31:04:055; ----------------------------------------------------------------------------
24 Feb 2016 10:31:41:479; ----------------------------------------------------------------------------
24 Feb 2016 10:31:58:828; Test started on localhost.localdomain machine
24 Feb 2016 10:31:58:831; >Start test method: testSpinner
24 Feb 2016 10:31:58:838; Execute: findElement(By.id(android:id/text1)
24 Feb 2016 10:31:58:869; Execute: scrollToExact(India)
24 Feb 2016 10:32:07:492; Execute: findElement(By.name(India)
24 Feb 2016 10:32:07:531; Execute: click(option)
24 Feb 2016 10:32:07:793; >Success testing method: testSpinner
24 Feb 2016 10:32:07:798; $$$$ Test ended! $$$$
24 Feb 2016 10:32:07:798; ----------------------------------------------------------------------------
24 Feb 2016 10:32:48:024; ----------------------------------------------------------------------------
24 Feb 2016 10:33:01:200; Test started on localhost.localdomain machine
24 Feb 2016 10:33:01:201; >Start test method: testSwipe
24 Feb 2016 10:33:01:208; Execute: scrollTo(Nikita)
24 Feb 2016 10:33:08:062; >Success testing method: testSwipe
24 Feb 2016 10:33:08:064; $$$$ Test ended! $$$$
24 Feb 2016 10:33:08:065; ----------------------------------------------------------------------------
24 Feb 2016 10:38:36:761; ----------------------------------------------------------------------------
24 Feb 2016 10:38:43:527; Test started on localhost.localdomain machine
24 Feb 2016 10:38:43:528; >Start test method: testDial
24 Feb 2016 10:38:43:539; Execute: findElementByAccessibilityId(dial pad)
24 Feb 2016 10:38:44:149; Execute: click(dialPad)
24 Feb 2016 10:38:44:870; Execute: findElementByAccessibilityId(0)
24 Feb 2016 10:38:46:071; Execute: waitToBeVisible(zero)
24 Feb 2016 10:38:47:206; Execute: longPress(zero)
24 Feb 2016 10:38:52:235; Execute: findElementByClassName(android.widget.EditText)
24 Feb 2016 10:38:52:686; Execute: waitToBeVisible(plus)
24 Feb 2016 10:38:52:761; Execute: getText(plus)
24 Feb 2016 10:38:53:535; >Success testing method: testDial
24 Feb 2016 10:38:53:539; $$$$ Test ended! $$$$
24 Feb 2016 10:38:53:539; ----------------------------------------------------------------------------
24 Feb 2016 10:39:08:272; ----------------------------------------------------------------------------
24 Feb 2016 10:39:14:898; Test started on localhost.localdomain machine
24 Feb 2016 10:39:14:899; >Start test method: testApplication
24 Feb 2016 10:39:14:907; Execute: findElement(By.name(5)
24 Feb 2016 10:39:15:301; Execute: findElement(By.name(+)
24 Feb 2016 10:39:15:361; Execute: findElement(By.name(4)
24 Feb 2016 10:39:15:539; Execute: findElementByAccessibilityId(equals)
24 Feb 2016 10:39:15:784; Execute: findElement(By.id(com.android.calculator2:id/formula)
24 Feb 2016 10:39:15:942; Execute: waitToBeVisible(five)
24 Feb 2016 10:39:15:997; Execute: click(five)
24 Feb 2016 10:39:16:231; Execute: click(plus)
24 Feb 2016 10:39:16:981; Execute: click(four)
24 Feb 2016 10:39:17:756; Execute: click(Equal)
24 Feb 2016 10:39:18:589; Execute: getText(value)
24 Feb 2016 10:39:19:759; >Success testing method: testApplication
24 Feb 2016 10:39:19:761; $$$$ Test ended! $$$$
24 Feb 2016 10:39:19:762; ----------------------------------------------------------------------------
24 Feb 2016 10:40:41:200; ----------------------------------------------------------------------------
24 Feb 2016 10:40:41:200; ----------------------------------------------------------------------------
24 Feb 2016 10:40:50:868; $$$$ Test ended! $$$$
24 Feb 2016 10:40:50:869; ----------------------------------------------------------------------------
24 Feb 2016 10:40:55:715; $$$$ Test ended! $$$$
24 Feb 2016 10:40:55:717; ----------------------------------------------------------------------------
24 Feb 2016 15:36:56:401; ----------------------------------------------------------------------------
24 Feb 2016 15:37:14:423; Test started on localhost.localdomain machine
24 Feb 2016 15:37:14:425; >Start test method: testApplication
24 Feb 2016 15:37:14:440; Execute: findElement(By.name(5)
24 Feb 2016 15:37:14:534; Execute: findElement(By.name(+)
24 Feb 2016 15:37:14:663; Execute: findElement(By.name(4)
24 Feb 2016 15:37:14:724; Execute: findElementByAccessibilityId(equals)
24 Feb 2016 15:37:14:863; Execute: findElement(By.id(com.android.calculator2:id/formula)
24 Feb 2016 15:37:14:887; Execute: waitToBeVisible(five)
24 Feb 2016 15:37:14:934; Execute: click(five)
24 Feb 2016 15:37:15:226; Execute: click(plus)
24 Feb 2016 15:37:15:873; Execute: click(four)
24 Feb 2016 15:37:17:245; Execute: click(Equal)
24 Feb 2016 15:37:18:259; Execute: getText(value)
24 Feb 2016 15:37:20:206; >Success testing method: testApplication
24 Feb 2016 15:37:20:210; $$$$ Test ended! $$$$
24 Feb 2016 15:37:20:210; ----------------------------------------------------------------------------
24 Feb 2016 15:39:03:348; ----------------------------------------------------------------------------
24 Feb 2016 15:39:19:262; Test started on localhost.localdomain machine
24 Feb 2016 15:39:19:263; >Start test method: testHybridApp
24 Feb 2016 15:39:19:275; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 15:39:19:331; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 15:39:19:354; Execute: waitToBeVisible(urlField)
24 Feb 2016 15:39:19:390; Execute: waitToBeVisible(goButton)
24 Feb 2016 15:39:19:431; Execute: sendKeys( urlField)
24 Feb 2016 15:39:24:678; Execute: click(goButton)
24 Feb 2016 15:39:26:637; context = NATIVE_APP
24 Feb 2016 15:39:26:638; context = WEBVIEW_com.example.testapp
24 Feb 2016 15:39:32:857; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
24 Feb 2016 15:39:32:857; Execute: hideKeyboard()
24 Feb 2016 15:39:34:033; Execute: findElement(By.name(q)
24 Feb 2016 15:39:34:486; Execute: waitToBeVisible(searchField)
24 Feb 2016 15:39:34:549; Execute: sendKeys(searchField)
24 Feb 2016 15:39:36:070; Execute: sendKeys( searchField)
24 Feb 2016 15:39:39:713; context = NATIVE_APP
24 Feb 2016 15:39:39:714; context = WEBVIEW_com.example.testapp
24 Feb 2016 15:39:39:834; Execute: switchContentToNative(NATIVE_APP)
24 Feb 2016 15:39:39:835; Execute: clear(urlField)
24 Feb 2016 15:39:46:171; Execute: waitToBeVisible(urlField)
24 Feb 2016 15:39:46:201; Execute: waitToBeVisible(goButton)
24 Feb 2016 15:39:46:223; Execute: sendKeys( urlField)
24 Feb 2016 15:39:51:555; Execute: click(goButton)
24 Feb 2016 15:39:52:408; context = NATIVE_APP
24 Feb 2016 15:39:52:408; context = WEBVIEW_com.example.testapp
24 Feb 2016 15:39:56:728; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
